City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Avarua,CK,-21.2078,-159.775,80.65,83,40,9.22,scattered clouds
Hobart,AU,-42.8794,147.3294,51.26,70,40,12.66,scattered clouds
Fortuna,US,40.5982,-124.1573,64.65,78,65,10.67,broken clouds
Bluff,NZ,-46.6,168.3333,41.81,83,10,10.71,clear sky
Airai,TL,-8.9266,125.4092,58.05,88,97,2.35,overcast clouds
Komsomolskiy,UZ,40.4272,71.7189,70.52,46,4,4.61,clear sky
Ushuaia,AR,-54.8,-68.3,49.66,43,75,19.57,light intensity drizzle
Rikitea,PF,-23.1203,-134.9692,73.69,78,16,17.56,light rain
Dolores,AR,-36.3132,-57.6792,50.45,83,46,3.09,scattered clouds
Salalah,OM,17.0151,54.0924,81.27,79,91,4.83,overcast clouds
East London,ZA,-33.0153,27.9116,61.65,77,37,11.01,scattered clouds
Torbay,CA,47.6666,-52.7314,52.57,71,75,17.27,broken clouds
Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,55.99,51,40,4.47,scattered clouds
Pevek,RU,69.7008,170.3133,32.68,81,49,7.02,scattered clouds
Bredasdorp,ZA,-34.5322,20.0403,54.68,82,9,3.87,clear sky
Belyy Yar,RU,53.6039,91.3903,51.69,93,40,2.24,light rain
Fomboni,KM,-12.28,43.7425,79.12,73,70,21.43,light rain
Cherskiy,RU,68.75,161.3,40.39,61,46,17.63,scattered clouds
Suratgarh,IN,29.3167,73.9,91.6,14,0,9.51,clear sky
Fort Nelson,CA,58.8053,-122.7002,58.59,67,75,5.75,broken clouds
Butaritari,KI,3.0707,172.7902,81.68,71,70,11.74,broken clouds
Carnarvon,AU,-24.8667,113.6333,65.57,49,1,7.11,clear sky
Sinnamary,GF,5.3833,-52.95,78.01,87,95,9.35,overcast clouds
Saint-Pierre,RE,-21.3393,55.4781,71.91,56,0,9.22,clear sky
Klaksvik,FO,62.2266,-6.589,50.92,87,100,11.74,overcast clouds
Albany,US,42.6001,-73.9662,74.79,33,11,1.01,few clouds
Iqaluit,CA,63.7506,-68.5145,56.93,38,0,14.97,clear sky
Chara,RU,56.9064,118.2631,61.84,50,13,2.15,few clouds
Srednekolymsk,RU,67.45,153.6833,47.3,43,94,13.82,overcast clouds
Yellowknife,CA,62.456,-114.3525,72.12,30,75,19.57,broken clouds
Auchi,NG,7.0667,6.2667,70.41,94,98,1.3,overcast clouds
Sedkyrkeshch,RU,61.75,50.9167,52.07,100,100,4.47,fog
Khatanga,RU,71.9667,102.5,28.02,87,89,6.15,overcast clouds
Mataura,NZ,-46.1927,168.8643,41.49,83,0,3.2,clear sky
Touros,BR,-5.1989,-35.4608,77.94,79,93,13.42,moderate rain
Cape Town,ZA,-33.9258,18.4232,64.38,69,0,4.61,clear sky
Atuona,PF,-9.8,-139.0333,78.3,72,56,15.21,broken clouds
Oranjemund,NA,-28.55,16.4333,69.33,28,3,7.85,clear sky
Lucapa,AO,-8.4192,20.7447,63.95,48,17,4.45,few clouds
Kribi,CM,2.95,9.9167,75.2,93,100,4.56,light rain
Kaitangata,NZ,-46.2817,169.8464,47.16,78,1,3.51,clear sky
Chato,TZ,-2.6378,31.7669,65.26,67,33,4.72,scattered clouds
Georgetown,MY,5.4112,100.3354,80.53,93,20,2.3,light rain
Antofagasta,CL,-23.65,-70.4,61.88,77,27,4.03,scattered clouds
Longyan,CN,25.1072,117.0225,74.62,99,100,3.89,moderate rain
Longyearbyen,SJ,78.2186,15.6401,44.44,87,75,9.22,light rain
Pangnirtung,CA,66.1451,-65.7125,38.59,90,52,0.85,broken clouds
Kutum,SD,14.2,24.6667,81.48,16,84,9.86,broken clouds
Port Alfred,ZA,-33.5906,26.891,57.18,89,10,15.82,clear sky
San Vicente,AR,-26.6167,-54.1333,58.23,97,100,2.91,overcast clouds
Kaeo,NZ,-35.1,173.7833,58.32,98,77,5.82,broken clouds
Castro,BR,-24.7911,-50.0119,56.89,85,99,3.56,overcast clouds
Vardo,NO,70.3705,31.1107,42.78,87,75,13.8,broken clouds
Bentiu,SS,9.2333,29.8333,83.44,40,39,4.21,scattered clouds
Salinas,US,36.6777,-121.6555,79.02,62,78,9.42,broken clouds
Barrow,US,71.2906,-156.7887,26.62,86,100,23.02,overcast clouds
Hithadhoo,MV,-0.6,73.0833,82.99,69,52,5.17,broken clouds
Songjianghe,CN,42.1859,127.479,50.45,95,95,2.91,overcast clouds
Pisco,PE,-13.7,-76.2167,68.05,73,0,18.41,clear sky
Atherton,GB,53.5237,-2.4935,53.29,86,100,5.44,overcast clouds
Saint-Philippe,RE,-21.3585,55.7679,71.19,72,41,10.29,scattered clouds
Terney,RU,45.0503,136.6092,47.86,70,85,8.88,overcast clouds
Bowen,AU,-20.0167,148.2333,71.02,83,96,6.4,overcast clouds
Pafos,CY,34.7667,32.4167,73.18,73,20,5.75,few clouds
Puerto Ayora,EC,-0.7393,-90.3518,80.56,92,97,5.99,overcast clouds
Kapaa,US,22.0752,-159.319,81.48,71,0,4.0,clear sky
Bestobe,KZ,52.4994,73.0975,50.88,60,91,6.89,overcast clouds
Doha,QA,25.2867,51.5333,89.91,68,0,9.22,clear sky
Saskylakh,RU,71.9167,114.0833,34.32,63,26,10.13,scattered clouds
Shakawe,BW,-18.3667,21.85,51.17,51,34,6.29,scattered clouds
Lebu,CL,-37.6167,-73.65,52.97,96,100,10.76,overcast clouds
Labuhan,ID,-6.8844,112.2051,77.5,89,96,6.89,overcast clouds
Tuktoyaktuk,CA,69.4541,-133.0374,28.4,80,100,5.75,overcast clouds
Makaha,US,21.4694,-158.2175,85.33,47,20,6.91,few clouds
Hasaki,JP,35.7333,140.8333,63.0,84,100,7.61,light rain
Yulara,AU,-25.2406,130.9889,47.84,70,29,7.9,scattered clouds
Dubrovnik,HR,42.6481,18.0922,80.24,65,0,5.75,clear sky
Bourbonnais,US,41.1417,-87.875,82.81,40,75,6.91,broken clouds
Moramanga,MG,-18.9333,48.2,56.91,99,82,2.3,broken clouds
Lavrentiya,RU,65.5833,-171.0,40.84,69,93,2.59,overcast clouds
Chuy,UY,-33.6971,-53.4616,59.13,88,100,2.01,overcast clouds
Husavik,IS,66.0449,-17.3389,41.27,71,96,20.27,overcast clouds
Nikolskoye,RU,59.7035,30.7861,58.89,71,92,6.62,overcast clouds
Zehdenick,DE,52.9785,13.3317,72.91,64,89,13.11,overcast clouds
Ise,JP,34.4833,136.7,63.72,93,100,24.34,light rain
Jamestown,US,42.097,-79.2353,71.24,27,75,9.22,broken clouds
Christchurch,NZ,-43.5333,172.6333,54.41,84,99,4.61,overcast clouds
Ustye,RU,59.6304,39.736,47.64,96,4,4.68,clear sky
Severo-Yeniseyskiy,RU,60.3725,93.0408,38.41,74,100,2.68,overcast clouds
Cayenne,GF,4.9333,-52.3333,80.64,1,75,10.36,moderate rain
Lazarev,RU,52.225,141.5131,43.11,83,59,15.93,broken clouds
Ilulissat,GL,69.2167,-51.1,38.5,55,9,11.45,clear sky
Asau,RO,46.4333,26.4,60.28,91,98,3.94,overcast clouds
Sai Buri,TH,6.7013,101.6168,76.89,86,87,3.47,moderate rain
Kununurra,AU,-15.7667,128.7333,75.18,88,100,0.0,overcast clouds
Vaini,TO,-21.2,-175.2,78.96,73,40,5.75,scattered clouds
Arraial Do Cabo,BR,-22.9661,-42.0278,69.66,56,40,11.5,scattered clouds
Kodiak,US,57.79,-152.4072,55.51,74,13,4.94,few clouds
Busselton,AU,-33.65,115.3333,54.64,73,100,9.35,overcast clouds
Cidreira,BR,-30.1811,-50.2056,61.92,96,100,8.03,overcast clouds
Boulder City,US,35.9786,-114.8325,99.77,12,0,12.66,clear sky
Cabo San Lucas,MX,22.8909,-109.9124,90.61,60,2,12.48,clear sky
Karratha,AU,-20.7377,116.8463,68.88,53,58,13.85,broken clouds
San Quintin,MX,30.4833,-115.95,68.76,71,0,18.5,clear sky
Rio Gallegos,AR,-51.6226,-69.2181,48.25,40,75,23.02,broken clouds
Taunggyi,MM,20.7833,97.0333,62.04,95,74,2.77,broken clouds
Vao,NC,-22.6667,167.4833,73.06,71,22,7.94,few clouds
Dingle,PH,10.9995,122.6711,76.71,89,100,1.52,overcast clouds
Plettenberg Bay,ZA,-34.0527,23.3716,59.92,65,8,4.76,clear sky
Chicama,PE,-7.8447,-79.1469,61.34,73,72,10.78,broken clouds
Talnakh,RU,69.4865,88.3972,29.21,77,26,2.06,scattered clouds
Hermanus,ZA,-34.4187,19.2345,56.8,58,21,8.32,few clouds
Jibuti,DJ,11.5,42.5,85.82,39,23,5.19,few clouds
Baghdad,IQ,33.3406,44.4009,94.91,18,27,6.91,dust
Bilibino,RU,68.0546,166.4372,37.29,54,98,5.99,overcast clouds
Sharan,RU,54.8167,54.0,54.43,82,99,2.51,overcast clouds
Norman Wells,CA,65.282,-126.8329,46.44,61,75,4.61,broken clouds
Dorado,PR,18.4588,-66.2677,91.29,55,40,12.66,haze
Santa Cruz,BO,-17.8,-63.1667,80.65,61,40,16.11,scattered clouds
Hilo,US,19.7297,-155.09,89.28,88,100,5.75,light rain
Punta Arenas,CL,-53.15,-70.9167,46.51,66,0,11.5,clear sky
Gamba,GA,-2.65,10.0,72.18,93,74,3.33,broken clouds
Kruisfontein,ZA,-34.0033,24.7314,55.89,86,19,5.23,few clouds
Vila Do Maio,CV,15.1333,-23.2167,75.99,86,12,19.64,few clouds
Adrar,MR,20.5022,-10.0711,91.53,16,98,13.89,overcast clouds
Provideniya,RU,64.3833,-173.3,41.36,75,0,8.99,clear sky
Esperance,AU,-33.8667,121.9,55.33,71,100,6.96,overcast clouds
Popondetta,PG,-8.7537,148.2534,77.74,81,39,2.17,scattered clouds
Kendari,ID,-3.945,122.4989,73.87,95,51,3.0,broken clouds
Zeya,RU,53.75,127.2667,65.62,50,20,0.6,few clouds
Churapcha,RU,62.0025,132.4325,69.98,52,20,3.96,few clouds
Port Elizabeth,ZA,-33.918,25.5701,58.1,85,0,4.61,clear sky
Loandjili,CG,-4.7561,11.8578,75.31,94,20,3.44,few clouds
Maracaibo,VE,10.6317,-71.6406,86.05,64,17,6.2,few clouds
Ust-Maya,RU,60.4167,134.5333,70.9,52,17,3.78,few clouds
Souillac,MU,-20.5167,57.5167,71.98,78,75,6.91,broken clouds
Razole,IN,16.4833,81.8333,81.01,84,94,6.44,overcast clouds
Independence,US,39.0911,-94.4155,79.2,64,20,12.66,few clouds
Santa Maria,BR,-29.6842,-53.8069,61.9,100,100,5.75,overcast clouds
Umm Lajj,SA,25.0213,37.2685,87.69,37,15,6.6,few clouds
Zhigansk,RU,66.7697,123.3711,59.74,45,90,5.21,overcast clouds
Upernavik,GL,72.7868,-56.1549,31.59,72,0,10.42,clear sky
Mount Gambier,AU,-37.8333,140.7667,45.28,84,70,10.71,light rain
Mahebourg,MU,-20.4081,57.7,71.89,78,75,6.91,broken clouds
Akonolinga,CM,3.7667,12.25,66.56,98,100,0.4,light rain
Mar Del Plata,AR,-38.0023,-57.5575,52.09,89,98,2.3,overcast clouds
Omboue,GA,-1.5746,9.2618,73.62,91,93,3.74,overcast clouds
Tiksi,RU,71.6872,128.8694,48.04,73,66,4.25,broken clouds
Bethel,US,41.3712,-73.414,76.06,38,98,1.01,overcast clouds
Takoradi,GH,4.8845,-1.7554,78.35,85,100,10.67,light rain
Laguna,US,38.421,-121.4238,79.95,63,100,11.5,overcast clouds
New Norfolk,AU,-42.7826,147.0587,50.92,80,99,5.99,overcast clouds
Jalu,LY,29.0331,21.5482,80.56,40,0,16.67,clear sky
Narsaq,GL,60.9167,-46.05,51.19,50,100,2.62,overcast clouds
Solnechnyy,RU,50.7214,136.6319,61.03,51,3,2.17,clear sky
Bengkulu,ID,-3.8004,102.2655,76.68,84,100,4.09,overcast clouds
Severo-Kurilsk,RU,50.6789,156.125,45.23,81,75,6.2,broken clouds
Alofi,NU,-19.0595,-169.9187,78.69,94,1,3.44,clear sky
Itaituba,BR,-4.2761,-55.9836,78.96,89,100,5.75,moderate rain
Chokurdakh,RU,70.6333,147.9167,49.93,40,48,10.13,scattered clouds
Yumen,CN,40.2833,97.2,63.9,26,56,3.78,broken clouds
Faya,SA,18.3851,42.4509,68.11,19,19,1.43,few clouds
Dikson,RU,73.5069,80.5464,29.52,98,100,6.87,light snow
Belogorsk,RU,50.9158,128.4611,58.39,68,59,3.18,broken clouds
Telimele,GN,10.9167,-13.3333,72.37,95,100,3.69,overcast clouds
Ribeira Grande,PT,38.5167,-28.7,66.6,94,100,8.05,mist
Bambous Virieux,MU,-20.3428,57.7575,71.85,78,75,6.91,light rain
Puerto Del Rosario,ES,28.5004,-13.8627,69.55,73,20,20.71,few clouds
Mut,TR,36.6439,33.4389,73.18,58,56,3.49,light rain
Konotop,UA,51.2403,33.2026,51.85,91,0,7.23,clear sky
Byron Bay,AU,-28.65,153.6167,62.94,68,76,11.18,broken clouds
Lichtenburg,ZA,-26.152,26.1597,48.67,36,0,8.84,clear sky
Konstantinovka,RU,49.6167,127.9833,56.79,68,71,0.22,broken clouds
Mitchell,US,43.7094,-98.0298,65.73,95,100,1.99,moderate rain
Hervey Bay,AU,-25.2986,152.8535,67.77,95,95,14.43,light rain
Jaunjelgava,LV,56.6167,25.0833,51.67,92,14,0.49,few clouds
Katobu,ID,-4.9408,122.5276,74.61,93,82,2.75,broken clouds
Haines Junction,CA,60.7522,-137.5108,58.95,67,100,4.61,overcast clouds
Buala,SB,-8.145,159.5921,82.51,76,94,9.55,moderate rain
Tongzi,CN,28.7829,105.0877,69.4,81,100,1.45,overcast clouds
Buri,BR,-23.7975,-48.5928,59.63,89,15,5.46,few clouds
Asyut,EG,27.181,31.1837,86.18,23,99,4.43,overcast clouds
Avera,US,33.194,-82.5271,86.05,31,81,7.23,broken clouds
Yeppoon,AU,-23.1333,150.7333,65.98,86,55,4.56,broken clouds
Tasiilaq,GL,65.6145,-37.6368,35.24,57,15,4.65,few clouds
Marang,MY,5.2056,103.2059,78.71,89,98,4.07,overcast clouds
San Cristobal,VE,7.7669,-72.225,75.38,72,83,4.97,broken clouds
Kangaatsiaq,GL,68.3065,-53.4641,35.04,78,17,13.24,few clouds
Beyneu,KZ,45.3167,55.2,81.72,12,26,12.64,scattered clouds
Orikum,AL,40.3253,19.4714,75.96,72,45,12.91,scattered clouds
Puerto Padre,CU,21.195,-76.6028,86.9,61,100,4.16,overcast clouds
Muravlenko,RU,63.7898,74.523,34.9,60,94,3.76,overcast clouds
Tigre,AR,-34.426,-58.5796,57.27,84,75,2.3,broken clouds
Kulmbach,DE,50.1,11.45,65.53,92,100,3.0,overcast clouds
Margate,GB,51.3813,1.3862,56.88,91,100,1.01,overcast clouds
Bafq,IR,31.6128,55.4107,78.55,15,0,3.42,clear sky
Lazaro Cardenas,MX,17.9583,-102.2,84.24,65,90,13.29,overcast clouds
Lubumbashi,CD,-11.6609,27.4794,52.11,68,15,5.5,few clouds
Ceres,US,37.5949,-120.9577,85.05,59,79,10.31,broken clouds
Ayan,RU,56.45,138.1667,56.19,62,24,5.3,few clouds
Shelburne,CA,44.0787,-80.2041,68.76,37,99,4.74,overcast clouds
Mildura,AU,-34.2,142.15,44.08,90,1,14.03,clear sky
Kotturu,IN,14.8167,76.2167,73.29,75,100,2.35,moderate rain
Darlawn,IN,24.0167,92.9,65.77,98,67,2.48,broken clouds
La Ronge,CA,55.1001,-105.2842,57.42,41,20,17.27,smoke
Ponta Delgada,PT,37.7333,-25.6667,69.49,94,40,5.75,scattered clouds
Rabat,MA,33.9911,-6.8401,68.16,87,20,4.61,few clouds
Maragogi,BR,-9.0122,-35.2225,75.09,86,7,8.39,clear sky
Saint George,US,37.1041,-113.5841,97.79,14,0,8.05,clear sky
Bud,US,39.447,-86.1758,84.92,38,44,6.91,scattered clouds
Bermejo,AR,-32.8833,-68.8,60.71,41,0,5.75,clear sky
Teguldet,RU,57.3064,88.1667,40.95,98,100,5.82,light rain
Waipawa,NZ,-41.4122,175.5153,52.86,76,93,5.19,overcast clouds
Trat,TH,12.5,102.5,80.91,97,100,1.54,overcast clouds
Kavaratti,IN,10.5669,72.642,82.98,76,100,12.12,overcast clouds
Geraldton,AU,-28.7667,114.6,48.61,71,2,11.5,clear sky
Guerrero Negro,MX,27.9769,-114.0611,69.12,65,7,22.7,clear sky
Vieste,IT,41.8825,16.175,78.69,54,95,14.36,overcast clouds
Straumen,NO,63.8709,11.2999,41.0,74,20,1.83,few clouds
Conceicao Da Barra,BR,-18.5933,-39.7322,66.2,73,53,6.93,broken clouds
Beryslav,UA,46.8415,33.4284,62.91,74,70,9.46,broken clouds
Ajdabiya,LY,30.7554,20.2263,74.82,70,0,9.28,clear sky
Khani,GE,41.9563,42.9566,56.77,96,84,1.32,broken clouds
Marienburg,PL,54.0359,19.0266,54.57,91,17,7.31,few clouds
Ust-Nera,RU,64.5667,143.2,66.65,48,46,6.53,scattered clouds
Kiruna,SE,67.8557,20.2251,40.12,60,40,11.5,scattered clouds
Nara,JP,34.6851,135.8049,64.9,94,100,16.69,light rain
Ponta Do Sol,PT,32.6667,-17.1,66.83,71,9,2.68,clear sky
Thompson,CA,55.7435,-97.8558,62.76,42,40,9.22,scattered clouds
Eurajoki,FI,61.2,21.7333,44.62,81,100,4.79,overcast clouds
Victoria,HK,22.2855,114.1577,84.38,86,96,11.99,overcast clouds
Mitha Tiwana,PK,32.2486,72.1108,91.18,11,0,3.29,clear sky
Fuerte,PH,17.5381,120.3644,79.63,82,82,5.82,broken clouds
Wewak,PG,-3.5534,143.6268,78.75,83,42,4.99,scattered clouds
Niles,US,42.0189,-87.8028,81.32,57,99,7.0,overcast clouds
Vestmannaeyjar,IS,63.4427,-20.2734,49.89,94,100,16.02,light rain
Saldanha,ZA,-33.0117,17.9442,55.45,40,2,7.78,clear sky
Alikalia,SL,9.1667,-11.4,72.1,95,99,3.33,light rain
Wenatchee,US,47.4235,-120.3103,69.66,66,75,10.36,broken clouds
Honiara,SB,-9.4333,159.95,78.22,87,90,7.87,overcast clouds
Superior,US,46.7208,-92.1041,75.49,51,0,10.36,clear sky
Baturaja,ID,-4.1333,104.1667,72.39,97,99,1.79,overcast clouds
Qaanaaq,GL,77.484,-69.3632,31.35,76,0,2.35,clear sky
Juxtlahuaca,MX,17.4294,-99.1467,83.84,56,84,7.67,broken clouds
Pahrump,US,36.2083,-115.9839,95.45,17,64,7.0,broken clouds
Sabang,ID,5.8933,95.3214,82.13,79,100,11.03,overcast clouds
Catamarca,AR,-28.4696,-65.7852,58.77,59,5,1.01,clear sky
Codrington,AU,-38.2667,141.9667,47.16,76,82,16.35,broken clouds
Ziarat,PK,30.3823,67.7282,60.44,13,0,5.7,clear sky
Sumbe,AO,-11.2061,13.8437,72.45,69,70,3.74,broken clouds
Mount Pleasant,US,32.7941,-79.8626,80.31,86,40,4.61,light intensity drizzle
Colares,PT,38.7992,-9.4469,65.28,70,44,18.01,scattered clouds
Buta,CD,2.7858,24.73,67.98,99,100,2.62,overcast clouds
Clyde River,CA,70.4692,-68.5914,32.23,93,0,5.75,clear sky
Te Anau,NZ,-45.4167,167.7167,45.97,90,34,1.25,scattered clouds
Balingasay,PH,16.3573,119.8564,81.7,78,84,9.55,broken clouds
La Paz,BO,-16.5,-68.15,57.18,43,75,11.5,broken clouds
Hambantota,LK,6.1241,81.1185,79.14,94,20,11.5,few clouds
Digby,CA,44.6169,-65.7655,63.55,75,23,8.55,few clouds
Ovalle,CL,-30.5983,-71.2003,62.55,43,80,2.51,broken clouds
Tobermory,CA,45.2501,-81.6665,49.77,77,100,8.37,overcast clouds
Kumi,KR,36.1136,128.336,62.15,91,82,3.27,broken clouds
Pimenteiras,BR,-6.2453,-41.4192,72.32,84,62,2.98,broken clouds
Isangel,VU,-19.55,169.2667,75.31,88,17,1.14,few clouds
Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,80,75,19.57,broken clouds
Minbu,MM,20.1833,94.8833,80.67,77,73,9.17,broken clouds
Faanui,PF,-16.4833,-151.75,79.66,76,67,13.18,light rain
Olafsvik,IS,64.8945,-23.7142,41.97,53,99,12.24,overcast clouds
Luderitz,NA,-26.6481,15.1594,68.04,29,74,7.38,broken clouds
Meulaboh,ID,4.1363,96.1285,76.06,90,98,3.09,overcast clouds
Chimbote,PE,-9.0853,-78.5783,66.79,80,89,13.06,overcast clouds
Xingyi,CN,24.1877,102.817,63.03,98,100,1.54,overcast clouds
Bonavista,CA,48.6499,-53.1147,43.63,77,55,19.1,broken clouds
Berlevag,NO,70.8578,29.0864,44.6,81,0,4.61,clear sky
Linjiang,CN,41.8069,126.9078,55.04,95,81,1.79,light rain
Dehloran,IR,32.6941,47.2679,98.28,12,38,13.82,scattered clouds
Arlit,NE,18.7369,7.3853,90.88,10,12,4.97,few clouds
Mehamn,NO,71.0357,27.8492,44.55,76,0,3.44,clear sky
Port Hedland,AU,-20.3167,118.5667,66.25,48,0,11.5,clear sky
Hofn,IS,64.2539,-15.2082,51.66,85,82,12.57,broken clouds
Iskateley,RU,67.6803,53.1512,50.79,48,10,13.71,clear sky
Portland,US,45.5234,-122.6762,67.91,80,100,13.0,overcast clouds
Leningradskiy,RU,69.3833,178.4167,35.22,77,95,9.04,overcast clouds
Sorong,ID,-0.8833,131.25,77.97,82,56,5.48,broken clouds
Shreveport,US,32.5251,-93.7502,88.09,28,24,5.66,few clouds
San Juan,AR,-31.5375,-68.5364,56.88,48,19,9.19,few clouds
Prince Rupert,CA,54.3161,-130.3201,59.09,80,100,5.75,overcast clouds
Krasnoselkup,RU,65.7,82.4667,32.2,66,7,8.5,clear sky
Loviisa,FI,60.4566,26.2251,45.28,92,73,6.17,broken clouds
Weihai,CN,37.5017,122.1136,64.31,90,92,4.72,overcast clouds
Suzun,RU,53.7841,82.3116,41.4,87,97,4.68,overcast clouds
Karlovac,HR,45.4872,15.5478,73.33,95,4,1.99,clear sky
Todos Santos,MX,23.45,-110.2167,75.16,58,0,8.32,clear sky
Buenos Aires,AR,-34.6132,-58.3772,57.0,84,40,2.3,scattered clouds
Brenham,US,30.1669,-96.3977,95.18,46,40,9.22,scattered clouds
Pitimbu,BR,-7.4706,-34.8086,77.59,78,6,13.87,clear sky
Paamiut,GL,61.994,-49.6678,41.49,75,0,6.44,clear sky
Kodinsk,RU,58.6881,99.1844,41.85,77,65,2.44,broken clouds
Vanimo,PG,-2.6741,141.3028,77.52,86,93,4.79,overcast clouds
Kitob,UZ,39.0843,66.8332,71.51,37,0,5.88,clear sky
Dicabisagan,PH,17.0818,122.4157,78.85,87,94,7.78,overcast clouds
Lerwick,GB,60.1545,-1.1494,50.0,88,62,1.88,broken clouds
Tias,ES,28.9611,-13.645,67.68,68,20,16.11,few clouds
Lipetsk,RU,52.6031,39.5708,51.6,92,52,7.58,broken clouds
Ozernovskiy,RU,51.5,156.5167,46.22,81,99,7.52,overcast clouds
Padang,ID,-0.9492,100.3543,77.05,83,100,3.18,overcast clouds
Puerto Madero,MX,14.7208,-92.4215,86.2,79,75,11.5,broken clouds
Krasnovka,RU,48.8177,40.0923,61.81,86,100,10.78,overcast clouds
Thinadhoo,MV,0.5333,72.9333,83.21,71,100,7.34,overcast clouds
Kenai,US,60.5544,-151.2583,71.02,72,67,9.1,broken clouds
Praya,CV,14.9215,-23.5087,75.74,73,0,20.71,clear sky
Fernie,CA,49.5,-115.0687,57.29,96,100,4.72,light rain
Skjervoy,NO,70.0311,20.9714,46.4,71,85,26.4,overcast clouds
Gigmoto,PH,13.7796,124.39,80.31,82,95,3.38,overcast clouds
Shimanovsk,RU,52.0,127.7,61.99,58,59,6.04,broken clouds
Leh,IN,34.1667,77.5833,48.65,49,7,4.81,clear sky
Katherine,AU,-14.4667,132.2667,71.92,64,76,8.05,broken clouds
Biak,ID,-0.9131,122.8766,75.88,85,61,2.13,broken clouds
Palauig,PH,15.435,119.9045,80.87,75,88,5.7,overcast clouds
Camacha,PT,33.0833,-16.3333,62.02,77,20,10.36,few clouds
Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,76.05,84,6,9.08,clear sky
Bundaberg,AU,-24.85,152.35,66.49,99,75,8.05,moderate rain
Kharp,RU,66.8014,65.8081,40.48,47,97,1.63,overcast clouds
Rovaniemi,FI,66.5,25.7167,45.81,53,0,5.75,clear sky
Paris,FR,48.8534,2.3488,63.14,87,75,3.44,broken clouds
Saint Anthony,US,45.0205,-93.218,74.89,61,98,3.0,overcast clouds
Blagoyevo,RU,63.3667,47.9167,48.92,92,38,3.0,scattered clouds
Thessalon,CA,46.2501,-83.5666,61.09,91,56,6.15,broken clouds
Susanville,US,40.4163,-120.653,69.64,40,0,18.41,clear sky
Neiafu,TO,-18.65,-173.9833,79.48,89,75,3.44,broken clouds
Ostersund,SE,63.1792,14.6357,41.61,70,7,5.01,clear sky
Itupiranga,BR,-5.1347,-49.3267,80.92,96,24,2.44,few clouds
