City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Tazovskiy,RU,67.4667,78.7,34.57,76,100,5.93,overcast clouds
Lorengau,PG,-2.0226,147.2712,81.36,70,5,4.07,clear sky
Oktyabrskiy,RU,54.4815,53.471,55.09,85,99,1.07,overcast clouds
Dongning,CN,44.0622,131.1207,46.24,97,100,0.74,overcast clouds
Urucui,BR,-7.2294,-44.5561,79.0,48,19,3.94,few clouds
Grand Forks,US,47.9417,-97.4337,59.41,69,97,12.8,overcast clouds
George,ZA,-33.963,22.4617,47.75,93,8,3.44,clear sky
Acapulco,MX,16.8634,-99.8901,84.15,73,77,10.02,broken clouds
Sao Filipe,CV,14.8961,-24.4956,75.54,73,2,12.35,clear sky
Pizarro,CO,4.9533,-77.366,77.92,88,98,6.29,light rain
Chokwe,MZ,-24.5333,32.9833,62.26,92,6,8.37,clear sky
Coquimbo,CL,-29.9533,-71.3436,60.53,63,0,11.5,clear sky
Flinders,AU,-34.5833,150.8552,51.39,66,28,11.01,scattered clouds
Yuyao,CN,30.05,121.1494,71.37,96,86,5.39,overcast clouds
Nome,US,64.5011,-165.4064,67.1,39,18,5.41,few clouds
Hovd,MN,48.0056,91.6419,53.47,27,0,17.05,clear sky
Nouadhibou,MR,20.931,-17.0347,67.62,82,79,25.01,broken clouds
Kysyl-Syr,RU,63.8986,122.7617,64.78,65,59,4.81,broken clouds
Necochea,AR,-38.5473,-58.7368,49.82,64,95,2.24,overcast clouds
Gorin,RU,51.1983,136.6669,59.11,59,7,1.01,clear sky
Mount Isa,AU,-20.7333,139.5,64.17,77,100,11.5,overcast clouds
Richards Bay,ZA,-28.783,32.0377,65.91,73,90,7.09,overcast clouds
Calvia,ES,39.5657,2.5062,74.91,80,85,6.31,overcast clouds
Tautira,PF,-17.7333,-149.15,80.11,72,78,16.6,broken clouds
Yuzhno-Kurilsk,RU,44.0306,145.8556,44.98,81,74,5.44,broken clouds
Katsuura,JP,35.1333,140.3,64.42,88,100,13.58,light rain
Beloha,MG,-25.1667,45.05,66.85,84,97,5.82,overcast clouds
Qui Nhon,VN,13.7667,109.2333,79.27,77,24,4.29,few clouds
Atbasar,KZ,51.8,68.3333,56.03,51,100,7.94,overcast clouds
Havre-Saint-Pierre,CA,50.2334,-63.5986,55.76,54,0,14.97,clear sky
Kortkeros,RU,61.8106,51.5806,51.8,94,100,3.96,overcast clouds
Turayf,SA,31.6725,38.6637,80.85,22,0,11.5,clear sky
Durant,US,33.994,-96.3708,77.16,53,0,14.97,clear sky
Ovsyanka,RU,55.9575,92.5519,45.57,80,100,2.3,overcast clouds
Kurgan,RU,55.45,65.3333,45.81,91,16,4.25,few clouds
Zhenlai,CN,45.8495,123.2973,51.49,81,100,16.04,overcast clouds
Grabouw,ZA,-34.1515,19.0151,59.49,30,11,5.12,few clouds
Fougamou,GA,-1.2154,10.5838,73.18,96,100,2.1,overcast clouds
Verkhnevilyuysk,RU,63.4453,120.3167,60.49,88,99,8.01,overcast clouds
Surt,LY,31.2089,16.5887,75.11,73,0,4.5,clear sky
Comodoro Rivadavia,AR,-45.8667,-67.5,51.66,30,0,18.41,clear sky
Port Lincoln,AU,-34.7333,135.8667,53.28,62,68,15.73,broken clouds
Sechura,PE,-5.5569,-80.8222,72.05,66,66,18.12,broken clouds
Surgut,RU,61.25,73.4167,41.18,86,40,4.47,scattered clouds
Myitkyina,MM,25.3833,97.4,73.24,99,86,0.85,moderate rain
Tulun,RU,54.5611,100.5792,43.3,88,45,3.91,scattered clouds
Timmins,CA,48.4669,-81.3331,66.02,34,75,0.0,broken clouds
Cravo Norte,CO,6.3017,-70.2041,79.3,82,94,3.51,overcast clouds
Andenes,NO,69.3143,16.1194,42.78,75,75,20.71,broken clouds
Santa Rosa,PH,14.3122,121.1114,83.1,84,97,3.6,overcast clouds
Ulladulla,AU,-35.35,150.4667,49.1,63,29,20.83,scattered clouds
Urusha,RU,54.05,122.9,59.04,60,82,1.54,broken clouds
Qaqortoq,GL,60.7167,-46.0333,46.33,59,100,2.3,overcast clouds
Eyl,SO,7.9803,49.8164,77.85,87,60,17.58,broken clouds
Kushiro,JP,42.975,144.3747,46.0,81,89,8.48,overcast clouds
Biu,NG,10.6129,12.1946,74.8,61,77,3.58,broken clouds
Baoning,CN,25.3378,110.026,75.06,100,100,2.24,overcast clouds
Harindanga,IN,22.0383,88.3214,84.13,82,55,14.81,broken clouds
Constitucion,CL,-35.3333,-72.4167,54.16,83,61,5.3,broken clouds
Lagoa,PT,39.05,-27.9833,64.13,92,100,16.82,overcast clouds
Kupang,ID,-10.1667,123.5833,76.35,86,43,6.04,scattered clouds
Itarema,BR,-2.9248,-39.9167,77.16,85,29,11.01,scattered clouds
Soyo,AO,-6.1349,12.3689,73.63,91,72,5.48,broken clouds
Bandarbeyla,SO,9.4942,50.8122,79.48,82,72,21.5,broken clouds
Katrineholm,SE,58.9959,16.2072,53.04,82,45,7.27,scattered clouds
Walvis Bay,NA,-22.9575,14.5053,76.15,22,100,4.61,overcast clouds
Maceio,BR,-9.6658,-35.7353,76.44,88,75,5.75,broken clouds
Hamilton,US,39.1834,-84.5333,84.43,40,35,3.0,scattered clouds
Soubre,CI,5.7856,-6.6083,73.36,98,100,3.31,overcast clouds
Kavieng,PG,-2.5744,150.7967,81.99,71,52,5.95,broken clouds
Yerbogachen,RU,61.2767,108.0108,47.86,88,100,5.28,overcast clouds
Ca Mau,VN,9.1769,105.15,77.83,86,97,4.41,overcast clouds
Basco,PH,20.4487,121.9702,84.45,80,99,20.36,overcast clouds
Ketchikan,US,55.3422,-131.6461,59.94,67,99,3.44,overcast clouds
Raudeberg,NO,61.9875,5.1352,48.87,84,17,14.92,few clouds
Saint-Michel-Des-Saints,CA,46.6834,-73.9159,58.82,58,92,6.29,overcast clouds
Itirapina,BR,-22.2528,-47.8228,64.04,70,61,3.04,broken clouds
Najran,SA,17.4924,44.1277,77.65,17,0,3.27,clear sky
Reconquista,AR,-29.15,-59.65,60.46,97,100,6.13,overcast clouds
Leavenworth,US,39.2333,-95.0336,78.6,68,87,4.0,overcast clouds
Sitka,US,57.0531,-135.33,67.69,45,98,3.56,overcast clouds
Ancud,CL,-41.8697,-73.8203,48.06,87,100,19.66,light rain
Galesong,ID,-5.3166,119.3661,73.42,83,8,5.44,clear sky
Urdoma,RU,61.7533,48.5442,50.54,95,100,0.98,overcast clouds
Sehithwa,BW,-20.4667,22.7167,55.29,43,28,7.67,scattered clouds
Yushan,CN,31.3776,120.9543,71.98,86,78,3.42,broken clouds
Krasnoturinsk,RU,59.7666,60.2086,48.58,64,100,3.38,overcast clouds
Lesozavodsk,RU,45.4794,133.4244,53.42,58,71,6.67,broken clouds
Codajas,BR,-3.8367,-62.0569,75.2,96,87,0.56,moderate rain
Varhaug,NO,58.6147,5.6457,53.69,84,87,13.71,overcast clouds
Honningsvag,NO,70.9821,25.9704,44.35,81,75,14.97,broken clouds
Namatanai,PG,-3.6667,152.4333,80.65,76,82,2.71,broken clouds
Whakatane,NZ,-37.9585,176.9854,56.77,86,100,5.93,overcast clouds
Praia Da Vitoria,PT,38.7333,-27.0667,68.25,73,75,10.02,broken clouds
Ust-Tsilma,RU,65.441,52.1498,52.97,41,7,8.1,clear sky
Broome,US,42.2506,-75.833,75.52,37,42,1.01,scattered clouds
Pekalongan,ID,-6.8886,109.6753,77.27,89,100,5.3,overcast clouds
Ivnya,RU,51.0629,36.1343,54.81,94,1,7.43,clear sky
Balsas,BR,-7.5325,-46.0356,83.34,42,85,7.38,overcast clouds
Hualmay,PE,-11.0964,-77.6139,68.07,76,91,12.57,overcast clouds
Bathsheba,BB,13.2167,-59.5167,84.81,74,40,23.02,scattered clouds
Nemuro,JP,43.3236,145.575,44.35,83,96,9.48,overcast clouds
Poum,NC,-20.2333,164.0167,77.09,73,4,13.31,clear sky
Hlotse,LS,-28.8718,28.045,42.19,63,2,4.12,clear sky
Manono,CD,-7.3,27.4167,74.41,43,79,2.91,broken clouds
Neuquen,AR,-38.9516,-68.0591,58.89,51,0,4.61,clear sky
Gazojak,TM,41.1875,61.4036,79.68,12,6,8.52,clear sky
Ibra,OM,22.6906,58.5334,79.99,56,0,0.56,clear sky
Lalmohan,BD,22.3384,90.7419,83.37,83,37,12.41,scattered clouds
General Roca,AR,-39.0333,-67.5833,51.62,46,7,12.19,clear sky
Sirsa,IN,29.5333,75.0167,90.79,12,0,8.3,clear sky
Abha,SA,18.2164,42.5053,67.82,68,0,0.0,clear sky
Sao Joao Da Barra,BR,-21.6403,-41.0511,69.89,57,48,9.13,scattered clouds
Havelock,US,34.8791,-76.9013,83.01,50,8,11.01,clear sky
Kahului,US,20.8947,-156.47,78.84,86,47,11.01,scattered clouds
Beyla,GN,8.6833,-8.6333,68.86,94,100,2.3,moderate rain
Cabra,ES,37.4725,-4.4421,71.74,29,0,3.33,clear sky
Omsukchan,RU,62.5333,155.8,59.04,45,92,5.1,overcast clouds
Quatre Cocos,MU,-20.2078,57.7625,71.71,79,18,10.22,light rain
Moyale,KE,3.5167,39.0584,68.38,72,99,6.87,overcast clouds
Yarim,YE,14.298,44.3779,58.57,59,39,1.03,scattered clouds
West Wendover,US,40.7391,-114.0733,76.39,28,90,16.62,overcast clouds
Mishkino,RU,55.3389,63.9175,44.04,84,53,5.32,broken clouds
Lasa,IT,46.6166,10.7002,53.37,93,100,6.22,overcast clouds
Tondano,ID,1.3038,124.9112,66.29,89,83,0.69,broken clouds
Vanavara,RU,60.34,102.2797,42.55,74,20,1.68,few clouds
Gull Lake,CA,50.1001,-108.4847,61.86,49,100,13.67,overcast clouds
Riva,US,38.9521,-76.578,81.12,47,16,1.01,few clouds
Cianorte,BR,-23.6633,-52.605,64.29,84,17,5.59,few clouds
Ginir,ET,7.1333,40.7,59.11,82,100,6.42,overcast clouds
Jiangkou,CN,25.4872,119.1986,76.05,98,100,10.47,light rain
Jieshi,CN,22.8134,115.8257,80.94,87,94,12.95,overcast clouds
Tual,ID,-5.6667,132.75,82.04,76,41,9.66,scattered clouds
Skelleftea,SE,64.7507,20.9528,46.76,52,7,8.05,clear sky
Miramar,US,25.9873,-80.2323,89.01,73,63,5.99,broken clouds
Abu Zabad,SD,12.35,29.25,87.01,36,16,9.73,few clouds
Caraballeda,VE,10.6112,-66.8522,82.87,94,75,4.61,broken clouds
Itapora,BR,-22.0799,-54.7874,75.69,52,93,6.55,overcast clouds
Lakes Entrance,AU,-37.8811,147.981,43.16,75,98,19.13,overcast clouds
Nioaque,BR,-21.1353,-55.83,79.16,42,92,3.78,overcast clouds
Tezu,IN,27.9167,96.1667,74.35,94,100,3.2,overcast clouds
Sault Sainte Marie,CA,46.5168,-84.3333,71.42,35,20,9.22,few clouds
Vila Velha,BR,-20.3297,-40.2925,69.94,71,0,6.91,clear sky
Naze,JP,28.3667,129.4833,74.32,82,100,25.64,heavy intensity rain
Port-Gentil,GA,-0.7193,8.7815,75.16,94,40,1.14,scattered clouds
Alice Springs,AU,-23.7,133.8833,42.35,93,2,0.0,clear sky
Tuatapere,NZ,-46.1333,167.6833,47.91,87,22,5.39,few clouds
Gopalpur,IN,19.2667,84.9167,82.4,92,18,13.8,light rain
Coxim,BR,-18.5067,-54.76,82.31,34,37,4.61,scattered clouds
Luena,AO,-11.7833,19.9167,50.45,57,2,4.94,clear sky
Brainerd,US,46.358,-94.2008,77.25,47,88,5.35,overcast clouds
Kanina,CD,-10.7341,25.4699,52.81,64,3,7.34,clear sky
Ossora,RU,59.2353,163.0719,48.7,81,15,11.05,few clouds
Shaunavon,CA,49.6501,-108.4181,60.58,56,100,13.13,overcast clouds
Sao Miguel Do Araguaia,BR,-13.275,-50.1628,78.69,34,2,3.38,clear sky
Bakchar,RU,57.0186,82.0711,31.19,99,26,4.92,scattered clouds
Russell,US,32.3502,-85.1999,85.91,55,89,2.42,overcast clouds
Caravelas,BR,-17.7125,-39.2481,69.31,72,68,9.06,broken clouds
Mayumba,GA,-3.432,10.6554,72.66,90,44,2.89,scattered clouds
Venice,US,27.0998,-82.4543,89.28,71,0,10.36,clear sky
Melfi,IT,40.9965,15.6514,72.5,64,75,8.57,broken clouds
Bertestii De Jos,RO,44.8333,27.75,66.65,75,68,11.16,broken clouds
Nantucket,US,41.2835,-70.0995,66.15,75,5,7.25,clear sky
Terrace,CA,54.5163,-128.6035,58.91,94,75,2.3,light rain
Aras,ES,42.5617,-2.356,63.01,63,0,3.44,clear sky
Wajima,JP,37.4,136.9,59.99,92,100,14.16,light rain
Wahiawa,US,21.5028,-158.0236,80.76,60,0,3.22,clear sky
Henties Bay,NA,-22.116,14.2845,67.87,46,100,8.16,overcast clouds
Salamiyah,SY,35.0113,37.0532,66.81,59,0,8.3,clear sky
Fort Saint James,CA,54.4333,-124.25,66.65,45,100,7.54,overcast clouds
Zhezkazgan,KZ,47.8043,67.7144,62.28,35,100,7.65,overcast clouds
Tenenkou,ML,14.4572,-4.9169,98.1,13,32,7.61,scattered clouds
Nishihara,JP,26.1842,127.7558,80.26,94,75,19.57,broken clouds
Challans,FR,46.8436,-1.8749,58.12,85,25,7.67,scattered clouds
Gorontalo,ID,0.5412,123.0595,74.1,94,76,2.01,broken clouds
Vostok,RU,46.4856,135.8833,48.78,53,99,3.11,overcast clouds
Lima,PE,-12.0432,-77.0282,65.39,67,40,18.41,scattered clouds
De Panne,BE,51.0792,2.5917,59.02,97,100,11.5,mist
Le Port,RE,-20.9373,55.2919,72.25,44,41,9.48,scattered clouds
Elektrenai,LT,54.7667,24.6333,54.68,88,16,3.18,few clouds
Paso De Carrasco,UY,-34.8603,-56.0522,53.26,93,75,0.0,broken clouds
Nexo,DK,55.0607,15.1306,59.09,87,100,12.73,overcast clouds
Flin Flon,CA,54.7682,-101.865,57.04,41,75,5.75,broken clouds
At-Bashi,KG,41.1702,75.8106,51.94,50,41,1.72,scattered clouds
Fairbanks,US,64.8378,-147.7164,74.61,19,10,1.99,clear sky
Daan,CN,33.0558,106.2958,62.73,75,99,1.01,overcast clouds
Tiznit,MA,29.5833,-9.5,69.28,64,100,1.99,overcast clouds
Ugoofaaru,MV,5.6667,73.0,82.18,77,79,14.27,broken clouds
Goundam,ML,16.4145,-3.6708,99.57,10,14,6.51,few clouds
Aklavik,CA,68.2191,-135.0107,42.44,50,53,6.42,broken clouds
Pandan,PH,14.0453,124.1694,79.09,81,94,4.12,overcast clouds
Livingston,GB,55.9029,-3.5226,50.11,91,20,4.61,few clouds
Sambava,MG,-14.2667,50.1667,69.06,82,4,9.08,clear sky
Oskarshamn,SE,57.2645,16.4484,57.97,64,86,6.71,overcast clouds
Namibe,AO,-15.1961,12.1522,72.9,49,50,3.78,scattered clouds
Chaoyang,CN,41.5703,120.4586,58.44,70,99,12.55,overcast clouds
Port Blair,IN,11.6667,92.75,78.84,94,100,2.3,drizzle
Siguiri,GN,11.6667,-9.5,87.42,29,30,4.21,scattered clouds
Sahuaripa,MX,29.05,-109.2333,102.96,13,6,17.92,clear sky
Pakxan,LA,18.3778,103.6601,74.34,96,100,0.94,overcast clouds
Grindavik,IS,63.8424,-22.4338,46.35,61,75,4.61,light intensity drizzle
Murom,RU,55.5656,42.0417,50.5,96,100,4.7,overcast clouds
Azanka,RU,58.0401,64.7893,49.03,76,93,3.47,overcast clouds
Puerto Ayacucho,VE,5.6639,-67.6236,75.58,88,99,3.98,light rain
Hobyo,SO,5.3505,48.5268,78.26,84,87,25.72,overcast clouds
Half Moon Bay,US,37.4636,-122.4286,79.99,90,75,8.05,mist
Chitipa,MW,-9.7024,33.2697,56.91,92,82,3.33,broken clouds
Inirida,CO,3.8653,-67.9239,77.72,86,30,3.02,scattered clouds
Gainesville,US,29.6516,-82.3248,88.7,66,73,5.73,light rain
Cockburn Town,TC,21.4612,-71.1419,84.16,74,75,13.8,broken clouds
Anloga,GH,5.7947,0.8973,80.98,76,84,10.78,broken clouds
Goksun,TR,38.021,36.4973,57.83,94,2,4.16,clear sky
Oranjestad,AW,12.524,-70.027,85.95,70,20,24.16,few clouds
El Alto,PE,-4.2714,-81.2147,68.23,75,23,24.49,few clouds
Sisimiut,GL,66.9395,-53.6735,48.42,35,12,21.21,few clouds
Hornepayne,CA,49.2138,-84.7705,68.4,30,82,2.68,broken clouds
Brigantine,US,39.4101,-74.3646,71.2,53,2,9.82,clear sky
Yenagoa,NG,4.9247,6.2642,73.17,96,100,3.83,overcast clouds
Vredendal,ZA,-31.6683,18.5012,65.73,24,0,9.15,clear sky
Natal,BR,-5.795,-35.2094,79.02,89,75,9.22,broken clouds
Vaitape,PF,-16.5167,-151.75,79.66,75,69,13.06,light rain
San Jose,US,37.3394,-121.895,82.78,58,75,11.5,broken clouds
Nanortalik,GL,60.1432,-45.2371,43.23,75,86,3.91,overcast clouds
Lata,PT,40.1629,-8.3327,53.91,94,40,1.7,scattered clouds
Henderson,US,36.0397,-114.9819,101.17,12,0,12.66,clear sky
Csengod,HU,46.7154,19.268,71.8,65,92,6.89,overcast clouds
Gunjur,GM,13.2019,-16.7339,80.67,83,11,8.05,few clouds
Nosy Varika,MG,-20.5833,48.5333,67.08,92,49,5.86,light rain
Lucani,RS,43.8608,20.1381,72.05,94,98,4.41,overcast clouds
Semme,FR,46.1963,1.5007,57.61,91,89,3.6,overcast clouds
Jumla,NP,29.2747,82.1838,54.14,63,48,4.07,scattered clouds
Gravelbourg,CA,49.8834,-106.5512,62.87,44,100,19.1,overcast clouds
Puerto Baquerizo Moreno,EC,-0.9,-89.6,74.39,78,75,17.27,broken clouds
Santa Lucia,ES,27.9117,-15.5407,62.76,68,40,25.32,scattered clouds
Cap Malheureux,MU,-19.9842,57.6142,70.47,80,1,5.99,moderate rain
Gwanda,ZW,-20.9333,29.0,55.18,68,32,8.21,scattered clouds
Ocampo,MX,21.65,-101.5,80.19,22,76,12.88,broken clouds
Lyskovo,RU,56.0328,45.0422,51.55,96,96,4.21,light rain
Tigil,RU,57.8,158.6667,58.73,55,9,1.54,clear sky
Indian Head,US,38.6001,-77.1622,81.48,43,29,4.0,scattered clouds
Aripuana,BR,-9.1667,-60.6333,81.95,54,67,2.24,broken clouds
Ribeira Brava,PT,32.65,-17.0667,66.83,71,9,2.39,clear sky
Kloulklubed,PW,7.0419,134.2556,82.56,69,100,3.51,overcast clouds
Wanning,CN,18.8003,110.3967,80.26,88,100,9.86,overcast clouds
La Asuncion,VE,11.0333,-63.8628,74.93,100,5,17.27,clear sky
Beroroha,MG,-21.6667,45.1667,63.93,79,0,2.95,clear sky
Makakilo City,US,21.3469,-158.0858,82.56,53,0,5.95,clear sky
Erice,IT,38.037,12.5865,64.87,75,26,4.92,scattered clouds
Sur,OM,22.5667,59.5289,85.71,57,0,9.31,clear sky
Westport,US,41.1415,-73.3579,77.38,43,69,7.0,broken clouds
Giyani,ZA,-23.3025,30.7187,59.67,84,10,9.31,clear sky
Lusambo,CD,-4.9667,23.45,75.72,50,88,1.83,overcast clouds
San Patricio,US,28.017,-97.5169,97.52,46,0,18.07,clear sky
Aksu,CN,41.1231,80.2644,70.0,18,36,4.7,scattered clouds
Kalamnuri,IN,19.6667,77.3333,89.92,37,100,15.5,overcast clouds
Fayaoue,NC,-20.65,166.5333,76.05,73,15,10.42,few clouds
Caloundra,AU,-26.8,153.1333,65.89,97,100,12.64,overcast clouds
Sorland,NO,67.667,12.6934,44.46,64,73,21.9,broken clouds
Mitsamiouli,KM,-11.3847,43.2844,78.1,72,67,12.91,light rain
Korla,CN,41.7597,86.1469,70.86,13,0,8.39,clear sky
Shahr-E Kord,IR,32.3256,50.8644,67.77,26,20,4.61,few clouds
Kautokeino,NO,69.0125,23.0412,42.26,63,36,10.8,scattered clouds
Svetlyy,RU,54.675,20.1347,53.96,87,31,6.67,scattered clouds
Lompoc,US,34.6391,-120.4579,89.56,71,53,21.99,broken clouds
Canavieiras,BR,-15.675,-38.9472,69.39,81,90,8.5,overcast clouds
Rabo De Peixe,PT,37.8,-25.5833,68.27,92,40,5.75,scattered clouds
Magdalena,PH,14.1999,121.429,81.36,87,95,2.26,overcast clouds
Nioro,GM,13.35,-15.75,82.62,64,45,12.41,scattered clouds
Ballangen,NO,68.3428,16.8315,43.02,75,75,11.5,broken clouds
Hun,LY,29.1268,15.9477,80.64,34,0,7.05,clear sky
Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,87.6,58,20,4.61,few clouds
Kungurtug,RU,50.5994,97.5228,43.77,88,12,2.46,few clouds
Mgandu,TZ,-5.95,34.1333,57.65,75,48,5.93,scattered clouds
Nizhniy Baskunchak,RU,48.2198,46.8311,78.69,24,98,8.9,overcast clouds
Mabaruma,GY,8.2,-59.7833,71.46,99,100,2.64,overcast clouds
Yerofey Pavlovich,RU,53.9667,121.9667,59.95,52,13,2.13,few clouds
College,US,64.8569,-147.8028,74.59,20,9,1.99,clear sky
Kargopol,RU,61.5071,38.9456,48.04,96,13,4.03,few clouds
Nukus,UZ,42.4531,59.6103,69.78,46,0,2.3,clear sky
Baruun-Urt,MN,46.6806,113.2792,49.3,67,100,6.89,overcast clouds
Redmond,US,47.674,-122.1215,67.91,76,96,7.0,overcast clouds
Porto-Vecchio,FR,41.591,9.2795,71.13,88,0,13.8,clear sky
Yutsa,RU,43.9564,43.0128,56.5,76,55,6.31,broken clouds
Sangueya,GN,10.7,-14.3667,78.01,86,100,2.19,overcast clouds
Batemans Bay,AU,-35.7167,150.1833,53.1,57,37,16.6,scattered clouds
Shenjiamen,CN,29.9576,122.298,68.09,87,100,15.48,overcast clouds
Sept-Iles,CA,50.2001,-66.3821,56.05,63,20,8.05,few clouds
Sumenep,ID,-7.0167,113.8667,80.17,81,96,7.7,overcast clouds
Lufilufi,WS,-13.8745,-171.5986,87.58,73,14,12.01,few clouds
Ostrovnoy,RU,68.0531,39.5131,53.02,88,99,3.4,overcast clouds
Mongoumba,CF,3.6415,18.5936,70.93,95,100,2.53,light rain
Xuanhua,CN,40.6103,115.0447,57.42,60,7,10.29,clear sky
Ust-Koksa,RU,50.2696,85.6108,43.52,96,100,1.21,overcast clouds
Muros,ES,42.7762,-9.0603,63.09,79,97,8.03,overcast clouds
Chifeng,CN,42.2683,118.9636,54.5,72,100,17.56,overcast clouds
Dhanwar,IN,24.4167,85.9833,84.94,68,81,7.67,broken clouds
Dunedin,NZ,-45.8742,170.5036,57.79,56,1,4.09,clear sky
Tulum,MX,20.2167,-87.4667,84.63,66,100,6.53,overcast clouds
Hoa Binh,VN,20.8133,105.3383,79.56,87,100,3.22,overcast clouds
Gushikawa,JP,26.3544,127.8686,80.19,94,100,19.57,overcast clouds
Ushibuka,JP,32.1906,130.0228,69.51,89,99,18.45,overcast clouds
Ginda,IN,30.6945,78.4932,64.35,28,0,7.29,clear sky
Marzuq,YE,14.4,46.4667,75.25,58,46,4.21,scattered clouds
Bousse,BF,12.6606,-1.8922,96.21,18,66,4.21,broken clouds
Vangaindrano,MG,-23.35,47.6,65.64,91,60,3.2,light rain
Granville,AU,-33.8333,151.0167,54.28,64,0,21.85,clear sky
Jadu,LY,31.953,12.0261,77.7,26,0,5.88,clear sky
Champerico,GT,14.3,-91.9167,86.54,71,99,8.61,light rain
La Palma,US,33.8464,-118.0467,89.49,63,0,12.66,clear sky
Spas-Demensk,RU,54.4122,34.0226,49.28,93,32,5.03,scattered clouds
Majene,ID,-3.5403,118.9707,76.12,87,36,3.96,scattered clouds
Hit,IQ,33.6416,42.8251,96.15,13,100,7.09,overcast clouds
Sainte-Maxime,FR,43.3,6.6333,82.42,53,0,10.42,clear sky
Itoman,JP,26.1247,127.6694,80.98,94,75,18.41,broken clouds
Kulhudhuffushi,MV,6.6221,73.07,82.4,77,96,14.79,overcast clouds
Gold Coast,AU,-28.0,153.4333,63.18,93,100,10.36,overcast clouds
Polyarnyy,RU,69.1989,33.4478,44.33,97,100,16.4,light rain
Ravar,IR,31.2656,56.8055,76.08,14,0,5.46,clear sky
Puerto Escondido,MX,15.85,-97.0667,83.17,76,96,7.36,overcast clouds
Tougue,GN,11.4667,-11.6,76.35,50,72,1.28,light rain
Port-Cartier,CA,50.0334,-66.8654,54.75,66,94,5.99,overcast clouds
Ahuimanu,US,21.4447,-157.8378,83.75,65,100,8.05,overcast clouds
Medzev,SK,48.7004,20.8937,61.54,79,0,5.48,clear sky
Sakakah,SA,29.9697,40.2064,91.13,14,76,8.77,broken clouds
Fiumicino,IT,41.7675,12.2291,80.02,70,0,2.3,clear sky
Mungaoli,IN,24.4167,78.1,93.36,18,26,13.87,scattered clouds
Port Pirie,AU,-33.1833,138.0167,50.45,78,10,11.12,clear sky
Calama,CL,-22.4667,-68.9333,54.5,47,58,8.39,broken clouds
Deputatskiy,RU,69.3,139.9,56.35,64,100,2.57,overcast clouds
Salinopolis,BR,-0.6136,-47.3561,78.85,83,86,9.66,overcast clouds
Daru,PG,-9.0763,143.2092,76.82,88,100,2.82,overcast clouds
Winslow,US,35.0242,-110.6974,89.91,13,47,12.97,scattered clouds
Nabire,ID,-3.3667,135.4833,73.65,88,9,2.35,clear sky
